Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
ERH,Allspring Utilities and High Income Fund Common Shares,$11.954,-0.066,-0.549%,0.00,,2004,36256,Finance,Finance/Investors Services
ESP,Espey Mfg. & Electronics Corp. Common Stock,$46.46,0.00,0.00%,131546798.00,United States,1960,20916,Technology,Industrial Machinery/Components
EVI,EVI Industries Inc.  Common Stock,$27.39,-0.35,-1.262%,349461094.00,United States,1999,9049,Consumer Discretionary,Other Consumer Services
EVM,Eaton Vance California Municipal Bond Fund Common Shares of Beneficial Interest $.01 par value,$9.00,-0.085,-0.936%,0.00,United States,2002,30345,Finance,Finance/Investors Services
EVV,Eaton Vance Limited Duration Income Fund Common Shares of Beneficial Interest,$10.29,-0.03,-0.291%,0.00,United States,2003,247325,Finance,Finance/Investors Services
EXOD,Exodus Movement Inc. Class A Common Stock,$24.79,-0.43,-1.705%,720634194.00,United States,,91178,Finance,Finance: Consumer Services
FAX,abrdn Asia-Pacific Income Fund Inc. Common Stock,$16.29,-0.07,-0.428%,0.00,United States,1986,136973,Finance,Investment Managers
FCO,abrdn Global Income Fund Inc. Common Stock,$6.64,-0.06,-0.896%,0.00,United States,1992,75649,Finance,Investment Managers
FLYX,flyExclusive Inc. Class A Common Stock,$4.29,0.27,6.716%,343755924.00,,2023,10780,Consumer Discretionary,Transportation Services
FLYY,Spirit Aviation Holdings Inc. Common Stock,$1.22,-0.03,-2.40%,31576356.00,,2025,3840005,,
FSI,Flexible Solutions International Inc. Common Stock (CDA),$10.01,-1.24,-11.022%,126691885.00,Canada,2002,274768,Industrials,Major Chemicals
FSP,Franklin Street Properties Corp. Common Stock,$1.66,0.00,0.00%,172125964.00,United States,,302441,Real Estate,Real Estate Investment Trusts
FTF,Franklin Limited Duration Income Trust Common Shares of Beneficial Interest,$6.41,-0.01,-0.156%,258998447.00,United States,2003,134192,Finance,Finance/Investors Services
FURY,Fury Gold Mines Limited Common Shares,$0.5541,0.0431,8.434%,95114615.00,,2020,640517,Basic Materials,Precious Metals
GAU,Galiano Gold Inc.,$2.31,0.14,6.452%,597076728.00,Canada,,7480297,Industrials,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
GBR,New Concept Energy Inc Common Stock,$1.0119,0.0019,0.188%,5193004.00,United States,1993,83904,Energy,Oil & Gas Production
GENC,Gencor Industries Inc. Common Stock,$16.22,-0.04,-0.246%,237747926.00,United States,,62143,Industrials,Construction/Ag Equipment/Trucks
GGN,GAMCO Global Gold Natural Resources & Income Trust,$4.77,0.04,0.846%,0.00,United States,2005,502520,Finance,Finance/Investors Services
GGN^B,GAMCO Global Gold Natural Reources & Income Trust 5.00% Series B Cumulative 25.00 Liquidation Preference,$20.77,-0.03,-0.144%,,United States,,724,,
GLDG,GoldMining Inc. Common Shares,$0.9922,0.0646,6.964%,197500590.00,,,2116495,Basic Materials,Precious Metals
GLO,Clough Global Opportunities Fund Common Stock,$5.53,-0.03,-0.54%,0.00,United States,2006,138976,Finance,Finance/Investors Services
GLQ,Clough Global Equity Fund Clough Global Equity Fund Common Shares of Beneficial Interest,$7.37,-0.04,-0.54%,0.00,United States,2005,21657,Finance,Finance/Investors Services
GLU,Gabelli Global Utility Common Shares of Beneficial Ownership,$17.99,0.05,0.279%,107380709.00,United States,2004,17113,Finance,Finance/Investors Services
